x= -5.0 sin=+0.95892427      |*****      |**    cos=+0.28366219 tan=+3.380515
x= -4.8 sin=+0.99616461      |*****      |      cos=+0.08749898 tan=+11.384871
x= -4.6 sin=+0.99369100      |*****     *|      cos=-0.11215253 tan=-8.8601749
x= -4.4 sin=+0.95160207      |*****    **|      cos=-0.30733287 tan=-3.0963238
x= -4.2 sin=+0.87157577      |*****   ***|      cos=-0.49026082 tan=-1.7777798
x= -4.0 sin=+0.75680250      |****   ****|      cos=-0.65364362 tan=-1.1578213
x= -3.8 sin=+0.61185789      |***    ****|      cos=-0.79096771 tan=-0.77355609
x= -3.6 sin=+0.44252044      |**    *****|      cos=-0.89675842 tan=-0.49346673
x= -3.4 sin=+0.25554110      |*     *****|      cos=-0.96679819 tan=-0.2643169
x= -3.2 sin=+0.05837414      |      *****|      cos=-0.99829478 tan=-0.058473855
x= -3.0 sin=-0.14112001     *|      *****|      cos=-0.98999250 tan=+0.14254654
x= -2.8 sin=-0.33498815    **|      *****|      cos=-0.94222234 tan=+0.35552983
x= -2.6 sin=-0.51550137   ***|      *****|      cos=-0.85688875 tan=+0.60159661
x= -2.4 sin=-0.67546318  ****|       ****|      cos=-0.73739372 tan=+0.91601429
x= -2.2 sin=-0.80849640  ****|        ***|      cos=-0.58850112 tan=+1.3738231
x= -2.0 sin=-0.90929743 *****|         **|      cos=-0.41614684 tan=+2.1850399
x= -1.8 sin=-0.97384763 *****|          *|      cos=-0.22720210 tan=+4.2862617
x= -1.6 sin=-0.99957360 *****|           |      cos=-0.02919952 tan=+34.232533
x= -1.4 sin=-0.98544973 *****|           |*     cos=+0.16996714 tan=-5.7978837
x= -1.2 sin=-0.93203909 *****|           |**    cos=+0.36235775 tan=-2.5721516
x= -1.0 sin=-0.84147098 *****|           |***   cos=+0.54030231 tan=-1.5574077
x= -0.8 sin=-0.71735609  ****|           |****  cos=+0.69670671 tan=-1.0296386
x= -0.6 sin=-0.56464247   ***|           |***** cos=+0.82533562 tan=-0.68413681
x= -0.4 sin=-0.38941834    **|           |***** cos=+0.92106099 tan=-0.42279322
x= -0.2 sin=-0.19866933     *|           |***** cos=+0.98006658 tan=-0.20271004
x= +0.0 sin=+0.00000000      |           |***** cos=+1.00000000 tan=+0
x= +0.2 sin=+0.19866933      |*          |***** cos=+0.98006658 tan=+0.20271004
x= +0.4 sin=+0.38941834      |**         |***** cos=+0.92106099 tan=+0.42279322
x= +0.6 sin=+0.56464247      |***        |***** cos=+0.82533562 tan=+0.68413681
x= +0.8 sin=+0.71735609      |****       |****  cos=+0.69670671 tan=+1.0296386
x= +1.0 sin=+0.84147098      |*****      |***   cos=+0.54030231 tan=+1.5574077
x= +1.2 sin=+0.93203909      |*****      |**    cos=+0.36235775 tan=+2.5721516
x= +1.4 sin=+0.98544973      |*****      |*     cos=+0.16996714 tan=+5.7978837
x= +1.6 sin=+0.99957360      |*****      |      cos=-0.02919952 tan=-34.232533
x= +1.8 sin=+0.97384763      |*****     *|      cos=-0.22720210 tan=-4.2862617
x= +2.0 sin=+0.90929743      |*****    **|      cos=-0.41614684 tan=-2.1850399
x= +2.2 sin=+0.80849640      |****    ***|      cos=-0.58850112 tan=-1.3738231
x= +2.4 sin=+0.67546318      |****   ****|      cos=-0.73739372 tan=-0.91601429
x= +2.6 sin=+0.51550137      |***   *****|      cos=-0.85688875 tan=-0.60159661
x= +2.8 sin=+0.33498815      |**    *****|      cos=-0.94222234 tan=-0.35552983
x= +3.0 sin=+0.14112001      |*     *****|      cos=-0.98999250 tan=-0.14254654
x= +3.2 sin=-0.05837414      |      *****|      cos=-0.99829478 tan=+0.058473855
x= +3.4 sin=-0.25554110     *|      *****|      cos=-0.96679819 tan=+0.2643169
x= +3.6 sin=-0.44252044    **|      *****|      cos=-0.89675842 tan=+0.49346673
x= +3.8 sin=-0.61185789   ***|       ****|      cos=-0.79096771 tan=+0.77355609
x= +4.0 sin=-0.75680250  ****|       ****|      cos=-0.65364362 tan=+1.1578213
x= +4.2 sin=-0.87157577 *****|        ***|      cos=-0.49026082 tan=+1.7777798
x= +4.4 sin=-0.95160207 *****|         **|      cos=-0.30733287 tan=+3.0963238
x= +4.6 sin=-0.99369100 *****|          *|      cos=-0.11215253 tan=+8.8601749
x= +4.8 sin=-0.99616461 *****|           |      cos=+0.08749898 tan=-11.384871
x= +5.0 sin=-0.95892427 *****|           |**    cos=+0.28366219 tan=-3.380515

x= +0.0 sin=+0.00000000      |           |***** cos=+1.00000000 tan=+0
x= +0.8 sin=+0.70710678      |****       |****  cos=+0.70710678 tan=+1
x= +1.6 sin=+1.00000000      |*****      |      cos=+0.00000000 [SIGFPE]  tan=+1.7014118e+38
x= +2.4 sin=+0.70710678      |****   ****|      cos=-0.70710678 tan=-1
x= +3.1 sin=+0.00000000      |      *****|      cos=-1.00000000 tan=+0
x= +3.9 sin=-0.70710678  ****|       ****|      cos=-0.70710678 tan=+1
x= +4.7 sin=-1.00000000 *****|           |      cos=+0.00000000 tan=-1.0737418e+09
x= +5.5 sin=-0.70710678  ****|           |****  cos=+0.70710678 tan=-1
