x= -5.0 sin=+0.958924275      |*****      |**    cos=+0.283662186 tan=-3.380515
x= -4.9 sin=+0.982452612      |*****      |*     cos=+0.186512370 tan=-5.267493
x= -4.8 sin=+0.996164609      |*****      |      cos=+0.087498984 tan=-11.384871
x= -4.7 sin=+0.999923258      |*****      |      cos=-0.012388662 tan=+80.712771
x= -4.6 sin=+0.993691004      |*****     *|      cos=-0.112152525 tan=+8.860175
x= -4.5 sin=+0.977530118      |*****     *|      cos=-0.210795797 tan=+4.6373321
x= -4.4 sin=+0.951602075      |*****    **|      cos=-0.307332868 tan=+3.0963238
x= -4.3 sin=+0.916165938      |*****    **|      cos=-0.400799170 tan=+2.2858479
x= -4.2 sin=+0.871575774      |*****   ***|      cos=-0.490260819 tan=+1.7777798
x= -4.1 sin=+0.818277113      |*****   ***|      cos=-0.574823944 tan=+1.4235265
x= -4.0 sin=+0.756802498      |****   ****|      cos=-0.653643618 tan=+1.1578213
x= -3.9 sin=+0.687766162      |****   ****|      cos=-0.725932301 tan=+0.94742466
x= -3.8 sin=+0.611857895      |***    ****|      cos=-0.790967709 tan=+0.7735561
x= -3.7 sin=+0.529836145      |***   *****|      cos=-0.848100029 tan=+0.62473308
x= -3.6 sin=+0.442520448      |**    *****|      cos=-0.896758414 tan=+0.49346674
x= -3.5 sin=+0.350783233      |**    *****|      cos=-0.936456685 tan=+0.37458565
x= -3.4 sin=+0.255541108      |*     *****|      cos=-0.966798191 tan=+0.26431691
x= -3.3 sin=+0.157745701      |*     *****|      cos=-0.987479769 tan=+0.15974575
x= -3.2 sin=+0.058374150      |      *****|      cos=-0.998294775 tan=+0.058473861
x= -3.1 sin=-0.041580655      |      *****|      cos=-0.999135151 tan=-0.041616647
x= -3.0 sin=-0.141120001     *|      *****|      cos=-0.989992498 tan=-0.14254654
x= -2.9 sin=-0.239249322     *|      *****|      cos=-0.970958167 tan=-0.24640539
x= -2.8 sin=-0.334988142    **|      *****|      cos=-0.942222344 tan=-0.35552982
x= -2.7 sin=-0.427379872    **|      *****|      cos=-0.904072146 tan=-0.47272762
x= -2.6 sin=-0.515501364   ***|      *****|      cos=-0.856888758 tan=-0.6015966
x= -2.5 sin=-0.598472137   ***|       ****|      cos=-0.801143621 tan=-0.74702228
x= -2.4 sin=-0.675463173  ****|       ****|      cos=-0.737393722 tan=-0.91601427
x= -2.3 sin=-0.745705205  ****|       ****|      cos=-0.666276029 tan=-1.1192136
x= -2.2 sin=-0.808496398  ****|        ***|      cos=-0.588501126 tan=-1.373823
x= -2.1 sin=-0.863209361 *****|        ***|      cos=-0.504846114 tan=-1.7098465
x= -2.0 sin=-0.909297422 *****|         **|      cos=-0.416146847 tan=-2.1850398
x= -1.9 sin=-0.946300084 *****|         **|      cos=-0.323289577 tan=-2.9270974
x= -1.8 sin=-0.973847628 *****|          *|      cos=-0.227202105 tan=-4.2862615
x= -1.7 sin=-0.991664809 *****|          *|      cos=-0.128844505 tan=-7.6966015
