divu: 1/1 = 1	divs: 1/1 = 1
divu: 32768/234 = 140	divs: -32768/234 = -140
divu: 234/32768 = 0	divs: 234/-32768 = 0
divu: 32768/32768 = 1	divs: -32768/-32768 = 1
divu: 28214/312 = 90	divs: 28214/312 = 90
divu: 63366/324 = 195	divs: -2170/324 = -6
divu: 24278/65287 = 0	divs: 24278/-249 = -97
divu: 58406/65410 = 0	divs: -7130/-126 = 56
divu: 51062/65461 = 0	divs: -14474/-75 = 192
divu: 18630/161 = 115	divs: 18630/161 = 115
divu: 43030/65348 = 0	divs: -22506/-188 = 119
divu: 9574/159 = 60	divs: 9574/159 = 60
divu: 182/434 = 0	divs: 182/434 = 0
divu: 31238/65406 = 0	divs: 31238/-130 = -240
divu: 53590/65281 = 0	divs: -11946/-255 = 46
divu: 18086/316 = 57	divs: 18086/316 = 57
divu: 6646/65327 = 0	divs: 6646/-209 = -31
divu: 35654/475 = 75	divs: -29882/475 = -62
divu: 55958/65086 = 0	divs: -9578/-450 = 21
divu: 18406/345 = 53	divs: 18406/345 = 53
divu: 4918/44 = 111	divs: 4918/44 = 111
divu: 31878/65464 = 0	divs: 31878/-72 = -442
divu: 50134/251 = 199	divs: -15402/251 = -61
divu: 10534/246 = 42	divs: 10534/246 = 42
divu: 60534/169 = 358	divs: -5002/169 = -29
divu: 19910/277 = 71	divs: 19910/277 = 71
divu: 36118/65336 = 0	divs: -29418/-200 = 147
divu: 60006/19 = 3158	divs: -5530/19 = -291
divu: 42422/166 = 255	divs: -23114/166 = -139
divu: 65286/498 = 131	divs: -250/498 = 0
divu: 13910/245 = 56	divs: 13910/245 = 56
divu: 35750/65200 = 0	divs: -29786/-336 = 88
divu: 16118/35 = 460	divs: 16118/35 = 460
divu: 36934/65103 = 0	divs: -28602/-433 = 66
divu: 49046/65074 = 0	divs: -16490/-462 = 35
divu: 3302/205 = 16	divs: 3302/205 = 16
divu: 47158/65312 = 0	divs: -18378/-224 = 82
divu: 390/65068 = 0	divs: 390/-468 = 0
divu: 10454/65263 = 0	divs: 10454/-273 = -38
divu: 28198/65130 = 0	divs: 28198/-406 = -69
divu: 4470/413 = 10	divs: 4470/413 = 10
divu: 21190/393 = 53	divs: 21190/393 = 53
divu: 29206/65324 = 0	divs: 29206/-212 = -137
divu: 44902/65415 = 0	divs: -20634/-121 = 170
divu: 19126/65434 = 0	divs: 19126/-102 = -187
divu: 33798/102 = 331	divs: -31738/102 = -311
divu: 39766/65257 = 0	divs: -25770/-279 = 92
divu: 53414/36 = 1483	divs: -12122/36 = -336
divu: 25590/279 = 91	divs: 25590/279 = 91
divu: 38214/65219 = 0	divs: -27322/-317 = 86
divu: 42134/65062 = 0	divs: -23402/-474 = 49
divu: 53734/65 = 826	divs: -11802/65 = -181
divu: 23862/65044 = 0	divs: 23862/-492 = -48
divu: 34438/160 = 215	divs: -31098/160 = -194
divu: 36310/227 = 159	divs: -29226/227 = -128
divu: 45862/65502 = 0	divs: -19674/-34 = 578
divu: 13942/65169 = 0	divs: 13942/-367 = -37
divu: 22470/509 = 44	divs: 22470/509 = 44
divu: 22294/65312 = 0	divs: 22294/-224 = -99
divu: 29798/65275 = 0	divs: 29798/-261 = -114
divu: 61366/65166 = 0	divs: -4170/-370 = 11
divu: 2310/65242 = 0	divs: 2310/-294 = -7
divu: 86/221 = 0	divs: 86/221 = 0
divu: 5542/408 = 13	divs: 5542/408 = 13
divu: 35062/65035 = 0	divs: -30474/-501 = 60
divu: 39494/65335 = 0	divs: -26042/-201 = 129
divu: 35222/65050 = 0	divs: -30314/-486 = 62
divu: 38630/65461 = 0	divs: -26906/-75 = 358
divu: 566/264 = 2	divs: 566/264 = 2
divu: 2950/65300 = 0	divs: 2950/-236 = -12
divu: 62166/65239 = 0	divs: -3370/-297 = 11
divu: 63526/338 = 187	divs: -2010/338 = -5
divu: 23414/65413 = 0	divs: 23414/-123 = -190
divu: 23750/65137 = 0	divs: 23750/-399 = -59
divu: 15382/65300 = 0	divs: 15382/-236 = -65
divu: 14694/65135 = 0	divs: 14694/-401 = -36
divu: 38070/386 = 98	divs: -27466/386 = -71
divu: 36358/334 = 108	divs: -29178/334 = -87
divu: 25942/65233 = 0	divs: 25942/-303 = -85
divu: 23206/65292 = 0	divs: 23206/-244 = -95
divu: 44534/65279 = 0	divs: -21002/-257 = 81
divu: 40774/65451 = 0	divs: -24762/-85 = 291
divu: 28310/65038 = 0	divs: 28310/-498 = -56
divu: 23526/65321 = 0	divs: 23526/-215 = -109
divu: 42806/65532 = 0	divs: -22730/-4 = 5682
divu: 36998/392 = 94	divs: -28538/392 = -72
divu: 22486/203 = 110	divs: 22486/203 = 110
divu: 15654/65222 = 0	divs: 15654/-314 = -49
divu: 32886/121 = 271	divs: -32650/121 = -269
divu: 25030/65253 = 0	divs: 25030/-283 = -88
divu: 8470/65288 = 0	divs: 8470/-248 = -34
divu: 65126/483 = 134	divs: -410/483 = 0
divu: 14774/118 = 125	divs: 14774/118 = 125
divu: 4870/65474 = 0	divs: 4870/-62 = -78
divu: 51798/197 = 262	divs: -13738/197 = -69
divu: 40870/128 = 319	divs: -24666/128 = -192
divu: 54006/65523 = 0	divs: -11530/-13 = 886
divu: 42054/31 = 1356	divs: -23482/31 = -757
divu: 21398/65026 = 0	divs: 21398/-510 = -41
divu: 8422/65181 = 0	divs: 8422/-355 = -23
divu: 19510/65264 = 0	divs: 19510/-272 = -71
divu: 5510/65532 = 0	divs: 5510/-4 = -1377
divu: 48342/65215 = 0	divs: -17194/-321 = 53
divu: 33318/58 = 574	divs: -32218/58 = -555
divu: 42358/365 = 116	divs: -23178/365 = -63
divu: 26310/65369 = 0	divs: 26310/-167 = -157
divu: 1558/65276 = 0	divs: 1558/-260 = -5
divu: 50022/343 = 145	divs: -15514/343 = -45
divu: 57014/65386 = 0	divs: -8522/-150 = 56
